Time,Device,B_hat,J_m,Best_Js,Target_MEC,J_d,p_L,p_U,p_0,Init_Mode,Final_Mode,Cost,Energy
20,9,-0.002593,6.601960e-08,5.270088e-08,7,2.000000e-08,2.371389e-01,1.000000e+00,1.610428e-03,3,3,2.000000e-03,0.000000e+00
21,2,-0.002537,6.489269e-08,5.162267e-08,2,2.000000e-08,2.241942e-01,1.000000e+00,1.821905e-03,3,3,2.000000e-03,0.000000e+00
21,3,-0.002521,6.457355e-08,5.127347e-08,7,2.000000e-08,2.320080e-01,1.000000e+00,1.714557e-03,3,3,2.000000e-03,0.000000e+00
21,4,-0.002599,6.613528e-08,5.260944e-08,7,2.000000e-08,3.143296e-01,1.000000e+00,9.352863e-04,3,3,2.000000e-03,0.000000e+00
21,5,-0.002664,6.744335e-08,5.396330e-08,6,2.000000e-08,2.932284e-01,1.000000e+00,1.046509e-03,3,3,2.000000e-03,0.000000e+00
21,9,-0.002582,6.579897e-08,5.234616e-08,7,2.000000e-08,2.819660e-01,1.000000e+00,1.156479e-03,3,3,2.000000e-03,0.000000e+00
22,2,-0.002511,6.438249e-08,5.092521e-08,2,2.000000e-08,2.837538e-01,1.000000e+00,1.167625e-03,3,3,2.000000e-03,0.000000e+00
22,3,-0.002497,6.410044e-08,5.062495e-08,1,2.000000e-08,2.912798e-01,1.000000e+00,1.115650e-03,3,3,2.000000e-03,0.000000e+00
22,5,-0.002656,6.728552e-08,5.375155e-08,2,2.000000e-08,3.183974e-01,1.000000e+00,8.968413e-04,3,3,2.000000e-03,0.000000e+00
22,7,-0.002542,6.499380e-08,5.182118e-08,4,2.000000e-08,2.021242e-01,1.000000e+00,2.209097e-03,3,3,2.000000e-03,0.000000e+00
22,9,-0.002542,6.501083e-08,5.165322e-08,3,2.000000e-08,2.485979e-01,1.000000e+00,1.491994e-03,3,3,2.000000e-03,0.000000e+00
22,10,-0.002567,6.549503e-08,5.202207e-08,7,2.000000e-08,2.902068e-01,1.000000e+00,1.099378e-03,3,3,2.000000e-03,0.000000e+00
23,1,-0.002499,6.414476e-08,5.074047e-08,4,2.000000e-08,2.639133e-01,1.000000e+00,1.346976e-03,3,3,2.000000e-03,0.000000e+00
23,5,-0.002648,6.712902e-08,5.366198e-08,1,2.000000e-08,2.877431e-01,1.000000e+00,1.090258e-03,3,3,2.000000e-03,0.000000e+00
23,6,-0.002481,6.377873e-08,5.046296e-08,5,2.000000e-08,2.363114e-01,1.000000e+00,1.674682e-03,3,3,2.000000e-03,0.000000e+00
23,8,-0.002482,6.380862e-08,5.038743e-08,7,2.000000e-08,2.699327e-01,1.000000e+00,1.296550e-03,3,3,2.000000e-03,0.000000e+00
23,9,-0.002498,6.412142e-08,5.093617e-08,6,2.000000e-08,2.047366e-01,1.000000e+00,2.183527e-03,3,3,2.000000e-03,0.000000e+00
23,10,-0.002564,6.544643e-08,5.193533e-08,5,2.000000e-08,3.072111e-01,1.000000e+00,9.872019e-04,3,3,2.000000e-03,0.000000e+00
24,2,-0.002473,6.363181e-08,5.018388e-08,2,2.000000e-08,2.800416e-01,1.000000e+00,1.211613e-03,3,3,2.000000e-03,0.000000e+00
24,3,-0.002454,6.324370e-08,4.985313e-08,7,2.000000e-08,2.592214e-01,1.000000e+00,1.413733e-03,3,3,2.000000e-03,0.000000e+00
24,8,-0.002454,6.323889e-08,4.979125e-08,3,2.000000e-08,2.799297e-01,1.000000e+00,1.220137e-03,3,3,2.000000e-03,0.000000e+00
24,9,-0.002463,6.342180e-08,5.002576e-08,7,2.000000e-08,2.610706e-01,1.000000e+00,1.390725e-03,3,3,2.000000e-03,0.000000e+00
24,10,-0.002532,6.480797e-08,5.155007e-08,7,2.000000e-08,2.211893e-01,1.000000e+00,1.871377e-03,3,3,2.000000e-03,0.000000e+00
25,1,-0.002481,6.378575e-08,5.037659e-08,7,2.000000e-08,2.656217e-01,1.000000e+00,1.337737e-03,3,3,2.000000e-03,0.000000e+00
25,2,-0.002437,6.290688e-08,4.941757e-08,2,2.000000e-08,2.972650e-01,1.000000e+00,1.094192e-03,3,3,2.000000e-03,0.000000e+00
25,4,-0.002483,6.381758e-08,5.037808e-08,8,2.000000e-08,2.767747e-01,1.000000e+00,1.235574e-03,3,3,2.000000e-03,0.000000e+00
25,5,-0.002594,6.604952e-08,5.284303e-08,5,2.000000e-08,2.092900e-01,1.000000e+00,2.041310e-03,3,3,2.000000e-03,0.000000e+00
25,9,-0.002428,6.272861e-08,4.934231e-08,1,2.000000e-08,2.577959e-01,1.000000e+00,1.440257e-03,3,3,2.000000e-03,0.000000e+00
25,10,-0.002513,6.441877e-08,5.110061e-08,4,2.000000e-08,2.369787e-01,1.000000e+00,1.650065e-03,3,3,2.000000e-03,0.000000e+00
26,7,-0.002430,6.275867e-08,4.927814e-08,5,2.000000e-08,2.934368e-01,1.000000e+00,1.124114e-03,3,3,2.000000e-03,0.000000e+00
27,2,-0.002389,6.193309e-08,4.843097e-08,5,2.000000e-08,3.030329e-01,1.000000e+00,1.072437e-03,3,3,2.000000e-03,0.000000e+00
27,3,-0.002364,6.145032e-08,4.800425e-08,7,2.000000e-08,2.793125e-01,1.000000e+00,1.261324e-03,3,3,2.000000e-03,0.000000e+00
27,4,-0.002477,6.369220e-08,5.050353e-08,1,2.000000e-08,2.054582e-01,1.000000e+00,2.182513e-03,3,3,2.000000e-03,0.000000e+00
27,5,-0.002525,6.465635e-08,5.152143e-08,7,2.000000e-08,1.947037e-01,1.000000e+00,2.376288e-03,3,3,2.000000e-03,0.000000e+00
27,6,-0.002425,6.265249e-08,4.917620e-08,7,2.000000e-08,2.916195e-01,1.000000e+00,1.139373e-03,3,3,2.000000e-03,0.000000e+00
27,7,-0.002395,6.206231e-08,4.858658e-08,8,2.000000e-08,2.913828e-01,1.000000e+00,1.152247e-03,3,3,2.000000e-03,0.000000e+00
27,8,-0.002352,6.120970e-08,4.767502e-08,1,2.000000e-08,3.187577e-01,1.000000e+00,9.879172e-04,3,3,2.000000e-03,0.000000e+00
28,1,-0.002403,6.222265e-08,4.904656e-08,3,2.000000e-08,2.028358e-01,1.000000e+00,2.282113e-03,3,3,2.000000e-03,0.000000e+00
28,3,-0.002356,6.127838e-08,4.803081e-08,2,2.000000e-08,2.186892e-01,1.000000e+00,2.013296e-03,3,3,2.000000e-03,0.000000e+00
28,4,-0.002431,6.278233e-08,4.965053e-08,6,2.000000e-08,1.941171e-01,1.000000e+00,2.451986e-03,3,3,2.000000e-03,0.000000e+00
28,5,-0.002488,6.392337e-08,5.052078e-08,6,2.000000e-08,2.633217e-01,1.000000e+00,1.357406e-03,3,3,2.000000e-03,0.000000e+00
28,6,-0.002377,6.171048e-08,4.833514e-08,4,2.000000e-08,2.542023e-01,1.000000e+00,1.503378e-03,3,3,2.000000e-03,0.000000e+00
28,8,-0.002322,6.060714e-08,4.739843e-08,4,2.000000e-08,2.097741e-01,1.000000e+00,2.197415e-03,3,3,2.000000e-03,0.000000e+00
29,3,-0.002311,6.038543e-08,4.699906e-08,1,2.000000e-08,2.578145e-01,1.000000e+00,1.495153e-03,3,3,2.000000e-03,0.000000e+00
29,4,-0.002419,6.253378e-08,4.902714e-08,2,2.000000e-08,3.051223e-01,1.000000e+00,1.048118e-03,3,3,2.000000e-03,0.000000e+00
29,5,-0.002453,6.322633e-08,4.980775e-08,6,2.000000e-08,2.689879e-01,1.000000e+00,1.317173e-03,3,3,2.000000e-03,0.000000e+00
29,6,-0.002363,6.141982e-08,4.819941e-08,3,2.000000e-08,2.123795e-01,1.000000e+00,2.121598e-03,3,3,2.000000e-03,0.000000e+00
29,10,-0.002389,6.193642e-08,4.841172e-08,3,2.000000e-08,3.137714e-01,1.000000e+00,1.004726e-03,3,3,2.000000e-03,0.000000e+00
30,1,-0.002356,6.129009e-08,4.814368e-08,8,2.000000e-08,1.969090e-01,1.000000e+00,2.441496e-03,3,3,2.000000e-03,0.000000e+00
30,2,-0.002295,6.006279e-08,4.678032e-08,8,2.000000e-08,2.273657e-01,1.000000e+00,1.907259e-03,3,3,2.000000e-03,0.000000e+00
